Date;CC;CD;CHos;CCuEI;CCtotalEI;CC1;CD1;CHos1;CCuEI1;CCtotalEI1;CC2;CD2;CHos2;CCuEI2;CCtotalEI2;CI14days;
07-Apr-2021;4116918.890619906;124667.00606093272;534557.9881175834;4548879.643548313;8665798.53416822;3163092.681909654;103889.68022560557;455708.4106859542;4062970.2010160983;7226062.882925753;953826.2087102524;20777.32583532715;78849.57743162925;485909.442532214;1439735.6512424664;467.6632665264401;
07-Apr-2021;4119475.427797801;124742.39398647645;534782.3338479672;4549231.9062698865;8668707.334067687;3163295.3235704456;103898.95710387584;455726.10449291754;4062891.7489460194;7226187.072516465;956180.1042273554;20843.43688260061;79056.22935504967;486340.1573238673;1442520.2615512228;465.112061207476;
07-Apr-2021;4122022.5964205894;124817.65075801992;535005.927405346;4549589.108690064;8671611.705110654;3163495.7351384535;103908.16336965452;455743.60899869166;4062814.4407468443;7226310.175885298;958526.8612821357;20909.487388365407;79262.31840665433;486774.66794322024;1445301.529225356;462.6462718055733;
07-Apr-2021;4124560.394590702;124892.77553511811;535228.7681465284;4549951.1818303745;8674511.576421075;3163693.9383867024;103917.2994392211;455760.9259882616;4062738.2617398314;7226432.200126533;960866.4562039995;20975.476095897015;79467.84215826682;487212.92009054264;1448079.376294542;460.2657076796542;
07-Apr-2021;4127088.826226834;124967.76748365042;535450.8559387701;4550318.055286989;8677406.881513821;3163889.9551830767;103926.36572791329;455778.0572565624;4062663.197235766;7226553.152418842;963198.8710437578;21041.40175573713;79672.79868220768;487654.8580512223;1450853.72909498;457.9701826835696;
07-Apr-2021;4129607.9006553153;125042.62577745743;535672.1911244991;4550689.657398793;8680297.558054108;3164083.8074679025;103935.3626501581;455795.0046065321;4062589.2325488045;7226673.040016707;965524.0931874126;21107.26312729933;79877.18651796698;488100.4248499881;1453624.5180374007;455.7595142870394;
08-Apr-2021;4132118.2114661904;125117.3489467617;535892.4453361919;4551065.297695519;8683183.50916171;3164275.561315197;103944.29058713763;455811.75353747123;4062516.3059859346;7226791.8673011325;967842.6501509933;21173.058359624076;80080.69179872073;488548.99170958454;1456391.6418605777;453.63173215545226;
08-Apr-2021;4134614.2358263037;125191.93230442486;536111.620823282;4551450.984832796;8686065.220659101;3164464.819779342;103953.14975994448;455828.30603847856;4062444.8525524526;7226909.672331795;970149.4160469618;21238.78254448038;80283.31478480344;489006.132280344;1459155.5483273058;451.52801071962267;
08-Apr-2021;4137089.914181583;125266.3718869023;536330.0494010136;4551853.691487907;8688943.605669491;3164651.150883298;103961.94042552354;455844.6804115288;4062375.3711785227;7227026.522061821;972438.7632982851;21304.431461378757;80485.36898948491;489478.3203093851;1461917.0836076702;449.39149397264293;
08-Apr-2021;4139545.350576784;125340.66702997083;536547.7331066397;4552273.406593555;8691818.757170338;3164834.594624411;103970.66300348815;455860.87847730436;4062307.8338358644;7227142.428460275;974710.7559523731;21370.004026482682;80686.85462933534;489965.5727576904;1464676.3287100634;447.2223637956163;
