Date;Total Re;Re1;Re E1;Re I1;Re Iu1;Re HR1;Re HD1;Re2;Re E2;Re I2;Re Iu2;Re HR2;Re HD2;
30-May-2021;1.2262109430323478;0.8710244245173658;0.17377008592288432;0.4274051139539446;0.24488465850597338;0.022558307335687262;0.0024062587988761914;1.681077139318516;0.33537626583116675;0.8248918699311133;0.4726273909165287;0.04353753315787644;0.0046440794818310505;
30-May-2021;1.228195585156872;0.870978918260265;0.17376262819353142;0.4273839637406551;0.24486944477230754;0.022556761865256215;0.0024061196885147257;1.6809893122423116;0.33536187241351567;0.8248510500194647;0.47259802841055343;0.043534550399944506;0.004643810998833421;
30-May-2021;1.2301821156621515;0.8709331827823018;0.1737551403443688;0.4273627116341894;0.24485414389725207;0.022555207090482754;0.002405979816008782;1.6809010427698428;0.3353474208646318;0.8248100334539857;0.4725684977216967;0.043531549684631736;0.004643541044896948;
30-May-2021;1.2321704253158687;0.8708872159044279;0.1737476220652937;0.4273413566486232;0.24483875508780809;0.022553642928396327;0.002405839174306634;1.680812326695546;0.33533291058601694;0.8247688183318428;0.4725387973194696;0.04352853085180492;0.004643269606411805;
30-May-2021;1.234160404381393;0.8708410154302966;0.17374007304370676;0.42731989779015267;0.24482327754475336;0.022552069295382983;0.0024056977563008644;1.6807231597804728;0.3353183409743541;0.8247274027349948;0.47250892566137404;0.043525493740089155;0.004642996669660668;
31-May-2021;1.2361519426387073;0.8707945791461482;0.17373249296450874;0.42729833405703305;0.24480771046259772;0.022550486107180828;0.0024055555548279433;1.6806335377520663;0.3353037114215019;0.8246857847300738;0.47247888119281367;0.04352243818685901;0.004642722220817932;
31-May-2021;1.2381449294054618;0.8707479048206462;0.17372488151006402;0.4272766644395172;0.2447920530295228;0.022548893278874656;0.0024054125626675684;1.6805434563038473;0.3352890213144235;0.8246439623682681;0.47244866234697913;0.043519364028228105;0.004642446245948408;
31-May-2021;1.2401392535582818;0.8707009902047592;0.1737172383601804;0.42725488791979394;0.24477630442735027;0.02254729072489217;0.002405268772542486;1.6804529110951856;0.33527427003514815;0.8246019336852023;0.47241826754478605;0.043516271099041895;0.004642168731006998;
31-May-2021;1.2421348035542552;0.8706538330316445;0.1737095631921056;0.4272330034719261;0.24476046383149544;0.02254567835899938;0.0024051241771180717;1.680361897751074;0.3352594569607638;0.8245596967008174;0.47238769519478613;0.0435131592328688;0.004641889661837879;
31-May-2021;1.244131467452522;0.8706064310164816;0.17370185568049004;0.4272110100617877;0.244744530410907;0.022544056094295137;0.0024049787690016548;1.6802704118618093;0.3352445814633458;0.8245172494192502;0.4723569436930505;0.04351002826198962;0.004641609024173194;
31-May-2021;1.246129132936086;0.870558781856351;0.17369411549736644;0.4271889066470009;0.24472850332803409;0.022542423843207343;0.002404832540742338;1.6801784489827576;0.33522964290991725;0.8244745898287115;0.472326011423106;0.04350687801739017;0.004641326803632713;
01-Jun-2021;1.2481276873337845;0.8705108832301164;0.1736863423121456;0.4271666921768725;0.24471238173877954;0.02254078151748824;0.0024046854848305656;1.6800860046341248;0.33521464066244105;0.8244317159013638;0.4722948967558444;0.043503708328752305;0.004641042985722992;
01-Jun-2021;1.2501270176423238;0.8704627327982545;0.1736785357915792;0.4271443655923309;0.24469616479243808;0.022539129028208895;0.0024045375936974436;1.6799930743006313;0.335199574077748;0.8243886255931985;0.4722635980494056;0.04350051902444317;0.004640757555836067;
01-Jun-2021;1.252127010548516;0.8704143282027326;0.1736706955997385;0.42712192582586045;0.24467985163166375;0.022537466285755328;0.0024043888597145508;1.679899653431274;0.3351844425074954;0.8243453168439108;0.47223211364911094;0.04349730993150778;0.004640470499249084;
01-Jun-2021;1.2541275524516367;0.8703656670668866;0.17366282139801;0.4270993718014385;0.2446634413924209;0.022535793199823732;0.0024042392751934985;1.6798057374390911;0.33516924529815934;0.8243017875767761;0.47220044188737237;0.04349408087565979;0.0046401818011234525;
