Date;Total Re;Re1;Re E1;Re I1;Re Iu1;Re HR1;Re HD1;
04-Apr-2021;0.8814306703577305;0.8814306703577305;0.17571916864412893;0.43239750301832225;0.2480169026968938;0.022861032787110987;0.0024360632112745127;
04-Apr-2021;0.8814038333291292;0.8814038333291292;0.1757134942855115;0.43238420599468835;0.24800975270292497;0.022860388666879325;0.00243599167912514;
04-Apr-2021;0.8813770383037918;0.8813770383037918;0.17570782873136326;0.43237092975891916;0.24800261398825496;0.022859745565709154;0.002435920259545177;
05-Apr-2021;0.8813502852253899;0.8813502852253899;0.1757021719701647;0.43235767428322264;0.247995486537428;0.022859103482193364;0.002435848952381375;
05-Apr-2021;0.8813235740376306;0.8813235740376306;0.17569652399039773;0.4323444395398253;0.24798837033500085;0.02285846241492607;0.0024357777574806057;
05-Apr-2021;0.8812969046842561;0.881296904684256;0.1756908847805462;0.4323312255009742;0.24798126536554319;0.022857822362502545;0.0024357066746898614;
05-Apr-2021;0.8812702771090608;0.8812702771090608;0.17568525432911222;0.43231803213893594;0.24797417161363708;0.02285718332351932;0.0024356357038562548;
05-Apr-2021;0.8812436912558749;0.8812436912558749;0.17567963262459974;0.43230485942599656;0.2479670890638774;0.022856545296574073;0.0024355648448270216;
05-Apr-2021;0.8812171470685638;0.8812171470685638;0.1756740196555143;0.43229170733446237;0.2479600177008719;0.02285590828026575;0.002435494097449519;
06-Apr-2021;0.8811906444910461;0.8811906444910462;0.1756684154103801;0.43227857583665946;0.24795295750924107;0.022855272273194432;0.002435423461571227;
06-Apr-2021;0.8811641834672767;0.8811641834672767;0.175662819877723;0.4322654649049342;0.24794590847361805;0.0228546372739615;0.002435352937039747;
06-Apr-2021;0.8811377639412445;0.8811377639412445;0.1756572330460707;0.4322523745116526;0.247938870578649;0.02285400328116948;0.0024352825237028055;
06-Apr-2021;0.8811113858569937;0.8811113858569937;0.17565165490396942;0.432239304629201;0.24793184380899283;0.022853370293422146;0.002435212221408249;
06-Apr-2021;0.8810850491586033;0.8810850491586033;0.1756460854399673;0.43222625522998603;0.24792482814932146;0.022852738309324473;0.00243514203000405;
06-Apr-2021;0.881058753790189;0.881058753790189;0.17564052464261415;0.43221322628643444;0.24791782358431944;0.022852107327482676;0.0024350719493383046;
07-Apr-2021;0.8810324996959201;0.8810324996959201;0.17563497250047866;0.43220021777099343;0.24791083009868467;0.022851477346504178;0.0024350019792592306;
07-Apr-2021;0.8810062868200019;0.8810062868200019;0.1756294290021312;0.43218722965613043;0.2479038476771275;0.02285084836499763;0.002434932119615173;
07-Apr-2021;0.8809801151066771;0.8809801151066771;0.17562389413614413;0.43217426191433334;0.24789687630437202;0.022850220381572913;0.0024348623702546003;
07-Apr-2021;0.8809539845002404;0.8809539845002404;0.17561836789110852;0.4321613145181105;0.24788991596515425;0.022849593394841126;0.0024347927310261054;
07-Apr-2021;0.8809278949450261;0.8809278949450261;0.17561285025561743;0.4321483874399912;0.2478829666442245;0.02284896740341463;0.0024347232017784062;
07-Apr-2021;0.8809018463854027;0.8809018463854027;0.17560734121826574;0.43213548065252483;0.24787602832634495;0.022848342405906958;0.002434653782360347;
08-Apr-2021;0.8808758387657947;0.8808758387657947;0.1756018407676673;0.43212259412828163;0.24786910099629184;0.02284771840093295;0.0024345844726208965;
08-Apr-2021;0.8808498720306622;0.8808498720306622;0.17559634889243794;0.43210972783985274;0.24786218463885382;0.02284709538710862;0.002434515272409151;
08-Apr-2021;0.8808239461245041;0.8808239461245041;0.1755908655811954;0.43209688175985;0.2478552792388332;0.022846473363051262;0.002434446181574331;
08-Apr-2021;0.8807980609918725;0.8807980609918725;0.17558539082257643;0.432084055860906;0.247848384781045;0.022845852327379387;0.002434377199965786;
08-Apr-2021;0.8807722165773576;0.8807722165773576;0.17557992460521987;0.43207125011567427;0.24784150125031776;0.022845232278712765;0.0024343083274329888;
08-Apr-2021;0.880746412825587;0.880746412825587;0.17557446691776654;0.43205846449682955;0.24783462863149303;0.022844613215672393;0.0024342395638255426;
09-Apr-2021;0.8807206496812431;0.8807206496812431;0.17556901774887637;0.4320456989770673;0.2478277669094257;0.02284399513688053;0.002434170908993176;
09-Apr-2021;0.8806949270890458;0.8806949270890458;0.17556357708721135;0.43203295352910426;0.2478209160689838;0.022843378040960656;0.002434102362785745;
09-Apr-2021;0.8806692449937533;0.8806692449937533;0.17555814492143565;0.43202022812567803;0.24781407609504877;0.02284276192653755;0.0024340339250532336;
09-Apr-2021;0.8806436033401788;0.8806436033401788;0.1755527212402325;0.43200752273954807;0.24780724697251522;0.022842146792237176;0.0024339655956457542;
09-Apr-2021;0.8806180020731731;0.8806180020731731;0.1755473060322875;0.4319948373434941;0.24780042868629107;0.02284153263668682;0.0024338973744135466;
09-Apr-2021;0.880592441137626;0.880592441137626;0.17554189928628816;0.43198217191031824;0.2477936212212978;0.022840919458514953;0.0024338292612069794;
10-Apr-2021;0.8805669204784825;0.8805669204784825;0.17553650099094145;0.4319695264128431;0.24778682456247;0.022840307256351382;0.0024337612558765513;
10-Apr-2021;0.8805414400407252;0.8805414400407252;0.17553111113495654;0.4319569008239131;0.24778003869475568;0.022839696028827072;0.0024336933582728877;
10-Apr-2021;0.8805159997693766;0.8805159997693764;0.1755257297070448;0.4319442951163941;0.2477732636031164;0.022839085774574365;0.0024336255682467444;
10-Apr-2021;0.8804905996095134;0.8804905996095134;0.17552035669593694;0.4319317092631736;0.2477664992725271;0.022838476492226745;0.0024335578856490053;
10-Apr-2021;0.8804652395062521;0.8804652395062521;0.17551499209036603;0.4319191432371603;0.24775974568797599;0.02283786818041907;0.0024334903103306865;
10-Apr-2021;0.8804399194047478;0.8804399194047478;0.17550963587906754;0.43190659701128503;0.24775300283446489;0.022837260837787355;0.0024334228421429315;
11-Apr-2021;0.8804146392502114;0.8804146392502114;0.17550428805079613;0.4318940705585;0.24774627069700916;0.02283665446296899;0.002433355480937015;
11-Apr-2021;0.8803893989878926;0.8803893989878927;0.17549894859430912;0.43188156385177917;0.2477395492606376;0.022836049054602535;0.0024332882265643402;
11-Apr-2021;0.8803641985630811;0.8803641985630811;0.175493617498366;0.4318690768641184;0.24773283851039243;0.022835444611327898;0.002433221078876445;
11-Apr-2021;0.8803390379211221;0.8803390379211221;0.17548829475174596;0.4318566095685352;0.2477261384313296;0.022834841131786188;0.002433154037724993;
11-Apr-2021;0.8803139170073998;0.8803139170073998;0.1754829803432304;0.4318441619380693;0.24771944900851856;0.022834238614619858;0.002433087102961783;
11-Apr-2021;0.8802888357673392;0.8802888357673392;0.17547767426160357;0.43183173394578217;0.2477127702270422;0.022833637058472557;0.0024330202744387423;
12-Apr-2021;0.8802637941464206;0.8802637941464205;0.17547237649566894;0.4318193255647571;0.24770610207199734;0.022833036461989302;0.0024329535520079305;
12-Apr-2021;0.8802387920901644;0.8802387920901644;0.17546708703423267;0.43180693676809984;0.24769944452849407;0.02283243682381629;0.002432886935521538;
12-Apr-2021;0.8802138295441306;0.8802138295441306;0.17546180586610352;0.4317945675289379;0.24769279758165633;0.02283183814260107;0.002432820424831889;
12-Apr-2021;0.8801889064539364;0.8801889064539365;0.17545653298010974;0.43178221782042114;0.24768616121662168;0.02283124041699243;0.0024327540197914364;
12-Apr-2021;0.8801640227652384;0.8801640227652384;0.17545126836508237;0.4317698876157215;0.24767953541854137;0.02283064364564047;0.00243268772025277;
12-Apr-2021;0.8801391784237333;0.8801391784237333;0.17544601200985502;0.4317575768880329;0.2476729201725802;0.022830047827196522;0.0024326215260686065;
13-Apr-2021;0.8801143733751754;0.8801143733751754;0.17544076390328098;0.43174528561057235;0.247666315463917;0.022829452960313284;0.0024325554370917984;
13-Apr-2021;0.880089607565358;0.880089607565358;0.17543552403421617;0.431733013756578;0.24765972127774388;0.022828859043644643;0.0024324894531753322;
13-Apr-2021;0.8800648809401164;0.8800648809401164;0.17543029239151942;0.43172076129931175;0.24765313759926713;0.022828266075845864;0.0024324235741723264;
13-Apr-2021;0.8800401934453419;0.8800401934453419;0.17542506896406915;0.4317085282120567;0.24764656441370667;0.022827674055573417;0.0024323577999360285;
13-Apr-2021;0.8800155450269668;0.8800155450269668;0.17541985374074662;0.4316963144681192;0.24764000170629602;0.022827082981485135;0.0024322921303198248;
13-Apr-2021;0.8799909356309634;0.8799909356309634;0.1754146467104359;0.4316841200408275;0.24763344946228275;0.02282649285224008;0.002432226565177234;
14-Apr-2021;0.8799663652033626;0.8799663652033626;0.17540944786204085;0.43167194490353317;0.247626907666928;0.022825903666498663;0.0024321611043619067;
14-Apr-2021;0.8799418336902352;0.8799418336902352;0.17540425718446817;0.43165978902960983;0.24762037630550704;0.022825315422922536;0.002432095747727629;
14-Apr-2021;0.8799173410376931;0.8799173410376931;0.1753990746666275;0.431647652392454;0.2476138553633087;0.022824728120174696;0.0024320304951283207;
14-Apr-2021;0.8798928871919062;0.8798928871919062;0.17539390029744828;0.4316355349654845;0.24760734482563593;0.02282414175691938;0.002431965346418035;
14-Apr-2021;0.8798684720990847;0.8798684720990848;0.1753887340658629;0.4316234367221435;0.24760084467780533;0.022823556331822183;0.0024319003014509613;
14-Apr-2021;0.8798440957054809;0.8798440957054809;0.17538357596080675;0.43161135763589537;0.24759435490514753;0.022822971843549946;0.0024318353600814224;
15-Apr-2021;0.879819757957405;0.8798197579574049;0.17537842597123512;0.43159929768022787;0.24758787549300706;0.022822388290770837;0.0024317705221638766;
15-Apr-2021;0.879795458801207;0.8797954588012069;0.17537328408610622;0.431587256828651;0.2475814064267424;0.022821805672154315;0.0024317057875529167;
15-Apr-2021;0.8797711981832796;0.8797711981832798;0.17536815029438144;0.43157523505469814;0.24757494769172578;0.022821223986371153;0.00243164115610327;
15-Apr-2021;0.8797469760500746;0.8797469760500745;0.17536302458504205;0.43156323233192556;0.2475684992733437;0.022820643232093415;0.0024315766276698006;
15-Apr-2021;0.8797227923480828;0.8797227923480828;0.1753579069470724;0.4315512486339121;0.24756206115699642;0.02282006340799448;0.002431512202107507;
