Date;New E from E;New E From I;New E From Iu;New E From HR;New E From HD;New E (total);New Cases;New Hos;New Deaths;New E from E1;New E From I1;New E From Iu1;New E From HR1;New E From HD1;New E (total)1;New Cases1;New Hos1;New Deaths1;
14-May-2020;386.9023697902848;1062.8806986695283;2567.4194764085332;1897.3800383363011;119.67540136955546;6034.257984574204;622.9186231443703;497.6741302808718;143.10169728744987;386.9023697902848;1062.8806986695283;2567.4194764085332;1897.3800383363011;119.67540136955546;6034.257984574204;622.9186231443703;497.6741302808718;143.10169728744987;
14-May-2020;385.2322513955197;1058.2488306015457;2550.04379473992;1871.9072637220017;118.08397293844608;5983.516113397433;625.35953900534;498.0958006823474;142.25437073858257;385.2322513955197;1058.2488306015457;2550.04379473992;1871.9072637220017;118.08397293844608;5983.516113397433;625.35953900534;498.0958006823474;142.25437073858257;
14-May-2020;383.5290817094437;1053.6369438545414;2532.8247140216677;1847.0464590120987;116.53021099366583;5933.567409591417;627.7673160795435;498.4783091316812;141.41813731498658;383.5290817094437;1053.6369438545414;2532.8247140216677;1847.0464590120987;116.53021099366583;5933.567409591417;627.7673160795435;498.4783091316812;141.41813731498658;
14-May-2020;381.7951360912994;1049.0418815757641;2515.7601477516137;1822.7784860660165;115.01287147248935;5884.388522957182;630.1403482028767;498.8206391067245;140.59269880658388;381.7951360912994;1049.0418815757641;2515.7601477516137;1822.7784860660165;115.01287147248935;5884.388522957182;630.1403482028767;498.8206391067245;140.59269880658388;
14-May-2020;380.0325841582344;1044.4607645445433;2498.8479591989585;1799.0849093955499;113.53075347666388;5835.95697077395;632.4771358397371;499.1218738642096;139.77775586700804;380.0325841582344;1044.4607645445433;2498.8479591989585;1799.0849093955499;113.53075347666388;5835.95697077395;632.4771358397371;499.1218738642096;139.77775586700804;
15-May-2020;378.2434943463701;1039.8909739609885;2482.0859705472753;1775.9479659303227;112.0826981010473;5788.2511028860035;634.7762823371172;499.38119221242397;138.97300902440813;378.2434943463701;1039.8909739609885;2482.0859705472753;1775.9479659303227;112.0826981010473;5788.2511028860035;634.7762823371172;499.38119221242397;138.97300902440813;
15-May-2020;376.428318765382;1035.3300574300354;2464.369528272371;1756.0848338882106;110.84043248150822;5743.053170837507;641.9245985621225;498.45442895241547;138.1781595232804;376.428318765382;1035.3300574300354;2464.369528272371;1756.0848338882106;110.84043248150822;5743.053170837507;641.9245985621225;498.45442895241547;138.1781595232804;
15-May-2020;374.6008147293267;1030.7761659429743;2446.7924281688915;1741.6177682121274;109.94130069939925;5703.72847775272;648.9900802164342;496.27015098679226;137.39291024343183;374.6008147293267;1030.7761659429743;2446.7924281688915;1741.6177682121274;109.94130069939925;5703.72847775272;648.9900802164342;496.27015098679226;137.39291024343183;
15-May-2020;372.7633193908159;1026.2282519459743;2429.352860694178;1727.2828784794528;109.05324183841341;5664.680552348835;655.9722554026255;494.0886233325206;136.61696900514787;372.7633193908159;1026.2282519459743;2429.352860694178;1727.2828784794528;109.05324183841341;5664.680552348835;655.9722554026255;494.0886233325206;136.61696900514787;
15-May-2020;370.9165856893052;1021.685365037002;2412.0490265945855;1713.0786530608955;108.17596268544861;5625.905593067237;662.87067343697;491.90938966246034;135.85004960745434;370.9165856893052;1021.685365037002;2412.0490265945855;1713.0786530608955;108.17596268544861;5625.905593067237;662.87067343697;491.90938966246034;135.85004960745434;
