Date;CC;CD;CHos;CCuEI;CCtotalEI;CC1;CD1;CHos1;CCuEI1;CCtotalEI1;
29-Apr-2021;3462745.6247235476;115875.97386973586;505779.0554732665;4598413.244825802;8061158.869549349;3462745.6247235476;115875.97386973586;505779.0554732665;4598413.244825802;8061158.869549349;
29-Apr-2021;3463299.809512135;115892.92990314614;505847.15179955034;4598755.28342957;8062055.092941704;3463299.809512135;115892.92990314614;505847.15179955034;4598755.28342957;8062055.092941704;
29-Apr-2021;3463852.5019202484;115909.84207869899;505915.0647472396;4599096.422347726;8062948.924267975;3463852.5019202484;115909.84207869899;505915.0647472396;4599096.422347726;8062948.924267975;
29-Apr-2021;3464403.7042277344;115926.710454555;505982.7945964739;4599436.66413383;8063840.368361564;3464403.7042277344;115926.710454555;505982.7945964739;4599436.66413383;8063840.368361564;
30-Apr-2021;3464953.4188272003;115943.5350891303;506050.3416412487;4599776.011283046;8064729.430110246;3464953.4188272003;115943.5350891303;506050.3416412487;4599776.011283046;8064729.430110246;
30-Apr-2021;3465501.648068934;115960.31604114297;506117.70617035934;4600113.303162136;8065614.95123107;3465501.648068934;115960.31604114297;506117.70617035934;4600113.303162136;8065614.95123107;
30-Apr-2021;3466048.3941180767;115977.05336947356;506184.88844985084;4600449.702857672;8066498.096975748;3466048.3941180767;115977.05336947356;506184.88844985084;4600449.702857672;8066498.096975748;
30-Apr-2021;3466593.659113906;115993.7471330399;506251.8887425903;4600785.2129824115;8067378.872096317;3466593.659113906;115993.7471330399;506251.8887425903;4600785.2129824115;8067378.872096317;
30-Apr-2021;3467137.4453166546;116010.39739086432;506318.70732630754;4601119.836086074;8068257.2814027285;3467137.4453166546;116010.39739086432;506318.70732630754;4601119.836086074;8068257.2814027285;
30-Apr-2021;3467679.7551002707;116027.00420217877;506385.344492705;4601453.574659355;8069133.329759626;3467679.7551002707;116027.00420217877;506385.344492705;4601453.574659355;8069133.329759626;
01-May-2021;3468220.5909455386;116043.56762651984;506451.80054661306;4601786.431137698;8070007.022083236;3468220.5909455386;116043.56762651984;506451.80054661306;4601786.431137698;8070007.022083236;
01-May-2021;3468759.9553274396;116060.08772378149;506518.0757921488;4602117.5754882805;8070877.530815721;3468759.9553274396;116060.08772378149;506518.0757921488;4602117.5754882805;8070877.530815721;
01-May-2021;3469297.850611369;116076.56455413242;506584.1705199641;4602447.840780895;8071745.691392264;3469297.850611369;116076.56455413242;506584.1705199641;4602447.840780895;8071745.691392264;
01-May-2021;3469834.2791656572;116092.99817794189;506650.08502107096;4602777.229500123;8072611.508665781;3469834.2791656572;116092.99817794189;506650.08502107096;4602777.229500123;8072611.508665781;
01-May-2021;3470369.243465241;116109.38865584123;506715.81959958136;4603105.744075245;8073474.987540486;3470369.243465241;116109.38865584123;506715.81959958136;4603105.744075245;8073474.987540486;
01-May-2021;3470902.746085145;116125.73604881088;506781.3745719054;4603433.386883811;8074336.132968956;3470902.746085145;116125.73604881088;506781.3745719054;4603433.386883811;8074336.132968956;
02-May-2021;3471434.789694292;116142.04041825859;506846.7502659912;4603760.160255013;8075194.9499493055;3471434.789694292;116142.04041825859;506846.7502659912;4603760.160255013;8075194.9499493055;
02-May-2021;3471965.37695242;116158.30182605918;506911.94700865826;4604085.30390165;8076050.68085407;3471965.37695242;116158.30182605918;506911.94700865826;4604085.30390165;8076050.68085407;
02-May-2021;3472494.5104151135;116174.5203344708;506976.965113928;4604409.581110578;8076904.091525692;3472494.5104151135;116174.5203344708;506976.965113928;4604409.581110578;8076904.091525692;
