Date;S;E;I;Iu;HR;HD;Q;R;D;Du;E1;I1;Iu1;HR1;HD1;Q1;R1;D1;Du1;
26-May-2020;5.788998644616951E7;25817.280549846495;28382.705633297985;66808.2675631862;7545.418162518639;490.40955517984;45906.994330863556;141760.93733107657;34045.89931677449;9191.80786792696;25817.280549846495;28382.705633297985;66808.2675631862;7545.418162518639;490.40955517984;45906.994330863556;141760.93733107657;34045.89931677449;9191.80786792696;
26-May-2020;5.788935330814841E7;25670.312966502002;28219.44480818014;66439.32193426126;7503.60832376755;487.83617629708215;45706.57301434098;142067.9788256284;34062.20341229911;9191.80786792696;25670.312966502002;28219.44480818014;66439.32193426126;7503.60832376755;487.83617629708215;45706.57301434098;142067.9788256284;34062.20341229911;9191.80786792696;
26-May-2020;5.788872087756472E7;25527.035341526687;28057.211701651533;66071.91165814808;7462.020555159432;485.2695031712919;45507.20612338791;142373.68043600934;34078.42184029025;9191.80786792696;25527.035341526687;28057.211701651533;66071.91165814808;7462.020555159432;485.2695031712919;45507.20612338791;142373.68043600934;34078.42184029025;9191.80786792696;
26-May-2020;5.788808914495206E7;25387.346860401107;27896.08107589;65706.04435151606;7420.654002673774;482.70982451463067;45308.886354149836;142678.04920552348;34094.55482908501;9191.80786792696;25387.346860401107;27896.08107589;65706.04435151606;7420.654002673774;482.70982451463067;45308.886354149836;142678.04920552348;34094.55482908501;9191.80786792696;
26-May-2020;5.7887458100530334E7;25251.150026738203;27736.12228743394;65341.72963488736;7379.507938739796;480.1574539403551;45111.606527338474;142981.09212893498;34110.60261705926;9191.80786792696;25251.150026738203;27736.12228743394;65341.72963488736;7379.507938739796;480.1574539403551;45111.606527338474;142981.09212893498;34110.60261705926;9191.80786792696;
27-May-2020;5.788682773421201E7;25118.350557101036;27577.399561707854;64978.978933494865;7338.581752247092;477.612726633407;44915.35958825977;143282.81615330296;34126.56545340215;9191.80786792696;25118.350557101036;27577.399561707854;64978.978933494865;7338.581752247092;477.612726633407;44915.35958825977;143282.81615330296;34126.56545340215;9191.80786792696;
27-May-2020;5.788619815216499E7;24988.74189005969;27419.971097485544;64617.72357774309;7297.87493862839;475.0759961156834;44720.220631956276;143583.22845372275;34142.443598781305;9191.80786792696;24988.74189005969;27419.971097485544;64617.72357774309;7297.87493862839;475.0759961156834;44720.220631956276;143583.22845372275;34142.443598781305;9191.80786792696;
27-May-2020;5.7885569461315915E7;24862.12403950086;27263.885972737928;64257.89947847862;7257.3870858828095;472.5476298863697;44526.26289783012;143882.3367024304;34158.23732588134;9191.80786792696;24862.12403950086;27263.885972737928;64257.89947847862;7257.3870858828095;472.5476298863697;44526.26289783012;143882.3367024304;34158.23732588134;9191.80786792696;
27-May-2020;5.78849416522788E7;24738.41697994041;27109.188078630297;63899.526872773895;7217.1178614700975;470.0280054169353;44333.476763000705;144180.14878487165;34173.946919803064;9191.80786792696;24738.41697994041;27109.188078630297;63899.526872773895;7217.1178614700975;470.0280054169353;44333.476763000705;144180.14878487165;34173.946919803064;9191.80786792696;
27-May-2020;5.788431471539306E7;24617.54334500431;26955.91752242208;63542.626823855215;7177.06700462533;467.51750783137373;44141.85276703058;144476.67252253494;34189.5726783572;9191.80786792696;24617.54334500431;26955.91752242208;63542.626823855215;7177.06700462533;467.51750783137373;44141.85276703058;144476.67252253494;34189.5726783572;9191.80786792696;
