Date;New E from E;New E From I;New E From Iu;New E From HR;New E From HD;New E (total);New Cases;New Hos;New Deaths;New E from E1;New E From I1;New E From Iu1;New E From HR1;New E From HD1;New E (total)1;New Cases1;New Hos1;New Deaths1;New E from E2;New E From I2;New E From Iu2;New E From HR2;New E From HD2;New E (total)2;New Cases2;New Hos2;New Deaths2;
12-May-2021;1071.036376687571;2608.998900295967;1603.9810958076296;160.51420618160455;15.175323252584185;5459.705902225356;3084.0802915706763;378.9612095916569;91.96754982492163;767.5034383179488;2005.7674433813706;1351.0926088822198;140.04678239883017;12.34983948260254;4276.760112462972;2668.2860423267903;327.8698381817154;82.22087876649286;303.53293836962206;603.2314569145962;252.88848692540978;20.46742378277438;2.825483769981644;1182.9457897623843;415.79424924388627;51.091371409941466;9.746671058428781;
12-May-2021;1070.8359945745729;2607.277269800976;1602.0030329648068;160.2824248657585;15.159682748825587;5455.558404954939;3079.246713453952;378.36727608909007;91.80357701749662;765.2703532343227;1999.9850386947912;1347.3815559722373;139.6736331880641;12.314989276044107;4264.625570365459;2660.6453331889325;326.93097404613025;81.99045042256256;305.5656413402502;607.2922311061848;254.6214769925696;20.608791677694388;2.8446934727814788;1190.9328345894803;418.60138026501966;51.436302042959845;9.813126594934065;
12-May-2021;1070.6572102206383;2605.5973091028236;1600.0434027944493;160.0522750372008;15.144241107087424;5451.4944382622;3074.451332631525;377.7780361390517;91.6405256872478;763.0448612227915;1994.2177758494115;1343.677832883013;139.30120549664267;12.280214865942465;4252.521890317801;2653.024432632867;325.9945439211437;81.76051658091257;307.6123489978467;611.3795332534123;256.3655699114363;20.751069540558127;2.86402624114496;1198.9725479443982;421.42689999865786;51.78349221790801;9.880009106335232;
13-May-2021;1070.202107547761;2603.2346737418416;1597.657563720943;159.779285794835;15.12478921341191;5445.998420018792;3069.694435792159;377.1935249688737;91.47840109836818;760.6151533753671;1987.912369679078;1339.6085548939836;138.89083706901573;12.242108707938284;4239.269023725383;2645.4234682336355;325.06056348273916;81.53107941663575;309.586954172394;615.3223040627636;258.04900882695927;20.888448725819277;2.8826805054736266;1206.7293962934095;424.2709675585233;52.13296148613452;9.947321681732438;
13-May-2021;1070.0576679342646;2601.6391052822996;1595.735639336197;159.55248370528975;15.109753095250056;5442.094649353301;3064.975909360407;376.6137286227947;91.31720848063858;758.3995190064596;1982.1770344290562;1335.9205925748104;138.51995889387612;12.207496469691257;4227.224601373894;2637.84225462252;324.12900995344444;81.30214105191875;311.658148927805;619.4620708532433;259.81504676138667;21.032524811413627;2.902256625558799;1214.8700479794072;427.13365473788684;52.48471866935028;10.01506742871983;
13-May-2021;1069.9350257844922;2600.085457582016;1593.8324446559766;159.32733413865193;15.094919327136788;5438.275181488273;3060.2956571360537;376.0386352800621;91.15695267360556;756.1914159645917;1976.456658911736;1332.240029532525;138.1498051245167;12.172960893165962;4215.210870426536;2630.2806195702215;323.1998621703138;81.0737032791841;313.74360981990037;623.6287986702798;261.5924151234514;21.177529014135246;2.921958433970826;1223.0643110617377;430.0150375658321;52.838773109748345;10.08324939442145;
13-May-2021;1069.8341811722116;2598.5740615713135;1591.9480786336594;159.10384420520268;15.080289047208062;5434.540454629594;3055.653971806457;375.46828090509484;90.99763851272296;753.9907703082491;1970.7513384966494;1328.5668875171116;137.78037669328197;12.1385022336896;4203.227875248981;2622.7386922356686;322.27313600395354;80.84576786180112;315.8434108639626;627.8227230746639;263.3811911165478;21.323467511920704;2.941786813518462;1231.3125793806134;432.91527957078847;53.19514490114132;10.151870650921834;
13-May-2021;1069.755138006503;2597.1052374817746;1590.0826418350441;158.8820211365876;15.065863416436219;5430.890901876345;3051.0511330433546;374.90269986299677;90.83927093959502;751.797510488885;1965.0611597323575;1324.9011888384543;137.41167457879988;12.104120755031811;4191.275654393528;2615.2165900417153;321.3488458828812;80.61833661931561;317.95762751761805;632.0440777494169;265.18145299658977;21.470346557787746;2.961742661404408;1239.6152474828168;435.83454300163913;53.55385398011554;10.220934320279413;
13-May-2021;1069.697903896419;2595.679295492144;1588.2362362994547;158.66187227790599;15.051643615963659;5427.3269515818865;3046.487408250234;374.3419250113914;90.68185498680509;749.6115672519901;1959.386200819311;1321.242956265663;137.04369980006788;12.06981672754167;4179.3542408645735;2607.7144193032605;320.42700487070704;80.39141141504477;320.0863366444288;636.2930946728327;266.99328003379173;21.6181724778381;2.9818268884219883;1247.9727107173132;438.77298894697316;53.91492014068439;10.29044357176032;
14-May-2021;1069.2635126529112;2593.328880081096;1585.8172448617738;158.38430668853164;15.032021903086342;5421.8259661874;3041.963053273243;373.78598778777615;90.52539576391595;747.1540857900674;1952.9978043734404;1317.1007593397237;136.625473954963;12.031101227037338;4165.909224685232;2600.2322758247174;319.5076247395487;80.16499414464552;322.1094268628439;640.3310757076557;268.7164855220502;21.75883273356864;3.000920676049004;1255.9167415021675;441.7307774485257;54.27836304822743;10.360401619270437;
