Date;S;V1;V2;E;I;Iu;HR;HD;Q;R;D;Du;E1;I1;Iu1;HR1;HD1;Q1;R1;D1;Du1;E2;I2;Iu2;HR2;HD2;Q2;R2;D2;Du2;
06-Jan-2021;5.392335795932361E7;0.0;0.0;221033.0022541256;212190.43661385725;226096.9604766252;31007.693735738198;3224.1274938204383;494823.0530005296;1805845.7510829985;83529.97097937127;9191.80786792696;221000.6135640326;212166.78074451722;226080.90007306394;31005.895665314598;3223.852608885153;494804.9616843201;1805838.4370089876;83529.30710473475;9191.80786792696;32.38869009301502;23.655869340035654;16.060403561260177;1.7980704236008274;0.2748849352850592;18.091316209456956;7.3140740107460775;0.6638746365217172;0.0;
06-Jan-2021;5.391706078387912E7;0.0;0.0;220638.20191020548;211815.64583066147;225849.72172360774;30990.707828718885;3219.5889228030824;494550.62907084735;1809161.622114074;83637.36625298165;9191.80786792696;220605.54757431816;211791.79622120468;225833.5189024893;30988.89220393088;3219.3117153878757;494532.3381617262;1809154.1861055817;83636.69317680596;9191.80786792696;32.65433588731896;23.849609456778154;16.202821118425476;1.815624788003222;0.27720741520664083;18.290909121133332;7.436008492333657;0.6730761756965788;0.0;
07-Jan-2021;5.3910770711883366E7;0.0;0.0;220248.1890999494;211441.44756409197;225609.74432069215;30973.313221235494;3215.0204422180445;494265.43063849094;1812475.624282181;83744.60974239866;9191.80786792696;220215.2664422332;211417.40260886605;225593.39702698297;30971.47993113466;3214.7408956318436;494246.9399071446;1812468.0650005732;83743.92738698961;9191.80786792696;32.922657716199595;24.044955225931016;16.347293709163132;1.8332901008325255;0.27954658620113315;18.490731346370683;7.559281607751775;0.6823554090533751;0.0;
07-Jan-2021;5.3904782309973866E7;0.0;0.0;219571.78204957742;211064.464738775;225361.77808893094;30955.514271760378;3210.422914188182;493982.7074344792;1815787.723069456;83851.70046500544;9191.80786792696;219538.64721807247;211040.2235114048;225345.2859871229;30953.663204357756;3210.141011601236;493964.01491870143;1815780.0391687541;83851.00875211017;9191.80786792696;33.13483150494609;24.24122737017872;16.49210180805532;1.8510674026210212;0.2819025869455672;18.69251577776006;7.683900701845824;0.6917128952724868;0.0;
07-Jan-2021;5.389887105156098E7;0.0;0.0;218840.44211370396;210677.99628692179;225090.89258934482;30937.304327048885;3205.7939417248404;493717.4159560148;1819097.9851937562;83958.63741260399;9191.80786792696;218807.1048638385;210653.55921838764;225074.2570837189;30935.435371540847;3205.509666825804;493698.51795595983;1819090.1753090052;83957.93626341729;9191.80786792696;33.33724986545941;24.437068534127793;16.635505625909282;1.8689555080388438;0.2842748990365491;18.89800005499126;7.809884750897995;0.7011491867055221;0.0;
07-Jan-2021;5.389297768700947E7;0.0;0.0;218113.30545659867;210282.4652137916;224797.41305387736;30918.67313269908;3201.1301227048425;493469.2417677106;1822406.5264455883;84065.4194803445;9191.80786792696;218079.7636335689;210257.83265923054;224780.63556816135;30916.786180208393;3200.8434599061657;493450.1345738027;1822398.5891870009;84064.70881552949;9191.80786792696;33.54182302978204;24.632554561086266;16.77748571602473;1.8869524906861936;0.2866627986766453;19.107193907920067;7.9372585874732575;0.710664815000742;0.0;
07-Jan-2021;5.388710248623118E7;0.0;0.0;217389.9807454676;209878.28801444784;224481.669350356;30899.611258137396;3196.4283760740004;493237.8753165568;1825713.460524172;84172.04545532413;9191.80786792696;217356.2322857057;209853.4602545037;224464.75132583297;30897.706201564288;3196.139310450535;493218.5552086845;1825705.39447706;84171.32519503543;9191.80786792696;33.74845976189963;24.827759944130232;16.918024523043286;1.9050565731083748;0.28906562346548376;19.320107872224735;8.066047112056214;0.7202602887031108;0.0;
07-Jan-2021;5.388124571311594E7;0.0;0.0;216670.09428738637;209465.85610487772;224143.99514982657;30880.110035581984;3191.6859144526234;493023.0116632524;1829018.899069265;84278.51402683291;9191.80786792696;216636.13721539165;209440.83335082053;224126.9380436239;30878.186769467164;3191.3944316855977;493003.47491001885;1829010.7027939667;84277.7840907377;9191.80786792696;33.95707199473651;25.02275405720268;17.05710620267752;1.9232661148180765;0.2914827670254379;19.536753233531563;8.196275298265244;0.7299360952112928;0.0;
08-Jan-2021;5.387153840781933E7;3869.2160000000003;0.0;215953.29116130175;209045.5372147864;223784.72726301555;30860.1615117505;3186.9002228773966;492824.3502987689;1832322.9516914736;84384.8237957884;9191.80786792696;215919.12358624017;209020.31961335987;223767.53254654247;30858.219932147855;3186.606309202609;492804.59315678204;1832314.623723276;84384.08410308583;9191.80786792696;34.16757506157013;25.217601426533218;17.194716473080845;1.9415796026449763;0.29391367478789965;19.757141986849064;8.32796819774342;0.7396927025748484;0.0;
08-Jan-2021;5.3865723629668124E7;3869.2160000000003;0.0;215234.90163898235;208617.63122759317;223391.1968003184;30839.758382853994;3182.0690330884895;492654.6540603663;1835625.7697687105;84490.97328338784;9191.80786792696;215200.5224229995;208592.21887275763;223373.86753730595;30837.798387215465;3181.7726752493677;492634.6711879532;1835617.3086124514;84490.2237528267;9191.80786792696;34.3792159828644;25.4123548355485;17.329263012436513;1.9599956385291741;0.2963578391220174;19.982872413050675;8.461156258949243;0.7495305611400137;0.0;
08-Jan-2021;5.3859936097144656E7;3869.2160000000003;0.0;214511.11685811664;208182.2630116143;222951.125108479;30818.89376912271;3177.190251125998;492526.4996952787;1838927.5896041244;84596.96093812474;9191.80786792696;214476.52546457064;208156.65597215167;222933.66594762987;30816.91525621977;3176.8914363386034;492506.2841337791;1838918.993723418;84596.20148801983;9191.80786792696;34.59139354598905;25.60703946262997;17.459160849129365;1.9785129029397306;0.2988147873948155;20.215561499598167;8.595880706264733;0.7594501049152943;0.0;
08-Jan-2021;5.385417626540534E7;3869.2160000000003;0.0;213781.6495689296;207739.5120449815;222465.4284017198;30797.561021185487;3172.261896017338;492439.31070751045;1842228.6877195267;84702.78514057712;9191.80786792696;213746.8455809569;207713.71037323092;222447.84399360992;30795.563891062186;3171.960611945549;492418.85545777046;1842219.9555312076;84702.01568882455;9191.80786792696;34.80398797270939;25.80167175057091;17.584408109890422;1.9971301233028185;0.3012840717893082;20.45524974000646;8.7321883190945;0.7694517525683631;0.0;
